"List","Card Name","Labels","Description"
"Epic 0 - Pipeline defects","T0.1 Emergency dispatch action can never execute","BUG","ACT-A2P-004 seeded with defaultExecutionMode 'automatic_immediate' (seed-pipeline.ts:124) which is not in KNOWN_MODES (execution-engine.ts:53) and not a routing lane. Add the mode or change the seed value."
"Epic 0 - Pipeline defects","T0.2 Emergency signal maps to two different actions","BUG","SIG-COMM-000 -> ACT-A2P-004 in seed mapping (seed-pipeline.ts:168) vs ACT-A2P-002 in simulator fallback (pipeline-simulator.ts:93). Pick one authoritative mapping."
"Epic 0 - Pipeline defects","T0.3 emergency_type param has no resolver","BUG","emergency_type is a requiredParam on ACT-A2P-004 but has no resolver in resolveParameters (action-queue-engine.ts:152-179); always null. Depends on T2.1."
"Epic 0 - Pipeline defects","T0.4 EMERGENCY_SERVICE defined twice","BUG","SIG-COMM-000 defined in signal-rules.ts:346 and hardcoded in pipeline-simulator.ts:61 - the real form of tracker #32. De-duplicate."
"Epic 0 - Pipeline defects","T0.5 outcome-engine hardcodes action ids","BUG","outcome-engine.ts:242-245 hardcodes ACT-REV-002 and name maps for ACT-REV-001/004; derive from PipelineActionLibrary instead."
"Epic 0 - Pipeline defects","T0.6 Library actions missing execution handlers","BUG","e.g. ACT-A2P-001 create_crm_lead runs the generic simulated SMS branch and never writes a CRM record (execution-engine.ts:384-424). Implement real handlers."
"Epic 1 - Identity & pixel signals","T1.1 Tier promotion to Tier 1 on identifier capture","BUILD","Tier is free-text default 'Tier 2B' (profiledb.schema.prisma:38); 'Tier 1' never declared. Constrain tiers + add promotion. Tracker #2."
"Epic 1 - Identity & pixel signals","T1.2 Anonymous 2B to Tier 1 profile merge","BUILD","Doc's POST /hub/profiles/merge with profileId:null. Merge anonymous fingerprint session history chronologically onto the new identified profile. DeviceFingerprint mapping exists (profiledb.schema.prisma:70); merge step does not. Ch 1."
"Epic 1 - Identity & pixel signals","T1.3 Emergency-band dwell signal","BUILD","Tracker #31 / doc SIG-ENG-003. Pixel deltas exist (eventRegistry.ts:10) but nothing fires from dwelling on the home-page emergency band pre-navigation. Add event type + signal rule."
"Epic 1 - Identity & pixel signals","T1.4 thread_id linkage from telemetry/pixel events","BUILD","Messages thread via CommunicationThread, but TelemetryEvent/PipelineEvent have no thread key. Doc's events.thread_id mechanism is absent."
"Epic 1 - Identity & pixel signals","T1.5 Reconcile Lead Grabber widget vs Leadbox/Leadform","RECONCILE","The speak-now/email-me/'What's the job?' widget the doc narrates does not exist; real capture is Leadbox (leadbox-builder.ts) / Leadform (leadform-builder.ts). The hidden-job-field bug can't exist here. Decide build vs map. RightFlush marketing site not in repo."
"Epic 2 - AI classification & templates","T2.1 Add always-populated emergency_type","BUILD","no_hot_water, burst_pipe, gas_leak, sewage_backup, electrical_fire, etc. Absent today; only boolean contains_emergency_keywords (ai-extraction.ts:10). Ch 2."
"Epic 2 - AI classification & templates","T2.2 Shared typed emergency template library","BUILD","Templates are inline keyword if/else chains duplicated in telemetry.ts:396-410 and messages/+server.ts:403-419. De-dup into one library."
"Epic 2 - AI classification & templates","T2.3 Write sewage_backup + electrical_fire templates","BUILD","Tracker #33/#34. Only partial keyword coverage today, no dedicated fire template."
"Epic 2 - AI classification & templates","T2.4 Unify three classifiers","RECONCILE","openai.ts:8, ai-extraction.ts:6, message-intent.ts:79 have divergent schemas; analyzeCallLog lacks the 'critical' emergency urgency tier. Unify emergency + urgent-vs-emergency distinction."
"Epic 3 - Callback, consent & SLA","T3.1 Pre-approved callback-ack auto-reply","BUILD","'A representative will call you in X minutes' fires without a click. Today ACT-A2P-005 draft_callback_script is approval-gated + re-blocked by SAF-002; SIG-COMM-005 never auto-acks the customer. Make X configurable (doc locks 10 min)."
"Epic 3 - Callback, consent & SLA","T3.2 Consent model (marketing vs transactional)","BUILD","Tracker #30. Only Contact.smsPermission boolean exists - no opt-in/opt-out/STOP, no purpose distinction. Gate transactional callback-ack on transactional consent."
"Epic 3 - Callback, consent & SLA","T3.3 Business config: sla_minutes, office_hours, sms_auto_reply_allowed","BUILD","SLA today is only slaResponseHours=24 / hardcoded 12h; add minute-level SLA, structured office hours, auto-reply toggle. PipelineBusinessConfig (schema.prisma:989)."
"Epic 3 - Callback, consent & SLA","T3.4 SLA-breach escalation (SMS + push + autocaller)","BUILD","Entirely absent. dueAt is written but never read (action-queue-engine.ts:79). Build a breach detector at sla_minutes+5 that checks Telnyx logs then escalates to the rep. Core Ch 2 mechanism."
"Epic 3 - Callback, consent & SLA","T3.5 Automatic internal call-context summary","BUILD","Doc's corrected ACT-CALL-005 - automatic, NOT approval-gated. aiSummary enrichment exists but not as an automatic pre-callback action written to profile."
"Epic 4 - Call bridging & recording","T4.1 Autocaller press-1-to-bridge","BUILD","Connect rep->customer on keypress. No autocaller exists. Ch 2."
"Epic 4 - Call bridging & recording","T4.2 IVR merge/bridge disclosure","BUILD","'I am merging your call with Bert... recorded', on top of the generic recording notice."
"Epic 4 - Call bridging & recording","T4.3 Outbound-to-voicemail capture","WIRE","Tracker #42. AMD distinguishes machine vs human (telnyx/webhook/+server.ts:1259-1307) and plays TTS to a machine, but the human branch only logs (stub) and outbound-leg transcribe+log-to-profile is unconfirmed. Complete it."
"Epic 4 - Call bridging & recording","T4.4 Internal/operational voicemail guard","BUILD","Ch 3. No is_internal check - owner self-voicemail ('order a heater, took $500 deposit') is classified as a customer emergency and can trigger auto emergency SMS (orchestrator.ts:64 only checks direction). Add a source-number guard."
"Epic 5 - Appointments & scheduling","T5.1 Persist appointments in the DB","WIRE","Booking exists only in Google Calendar (google-calendar.ts:346) + generic ScheduleEvent; no Appointment/Booking model ties an appointment to a customer profile."
"Epic 5 - Appointments & scheduling","T5.2 Per-rep calendars","BUILD","GoogleCalendarConnection is keyed per-company (schema.prisma:171); ACT-CALL-010/011/012 read/write a rep's calendar. Tracker #41."
"Epic 5 - Appointments & scheduling","T5.3 Extract appointment commitment from transcript","BUILD","Doc's ACT-CALL-010: mine a rep's spoken 'I'll be there at 3 PM' from a call transcript -> write calendar + profile. Booking today is SMS-booking-link driven."
"Epic 5 - Appointments & scheduling","T5.4 Available-slots scheduling EMAIL","BUILD","Doc's ACT-CALL-011. Slots offered only via SMS today (orchestrator.ts:330); no email flow lists slots. Tracker #43."
"Epic 5 - Appointments & scheduling","T5.5 Self-service slot selection as pipeline action + notify rep","WIRE","Doc's ACT-CALL-012. Picker exists (routes/book/[companyId]/+page.svelte) and writes to Calendar, but no rep-notification and not a pipeline action."
"Epic 5 - Appointments & scheduling","T5.6 Slot-locking / concurrent-claim conflict resolution","BUILD","Tracker #43 - undefined if two customers pick the same slot near-simultaneously."
"Epic 5 - Appointments & scheduling","T5.7 Decide 'on my way' SMS channel","RECONCILE","Tracker #41 - A2P (tracked, consent-gated) vs rep's personal phone (untracked)."
"Epic 5 - Appointments & scheduling","T5.8 Technician-capacity / multi-tech coordination","BUILD","Still-open gap both stories hit. getAvailableSlots de-facto conflict-checks one calendar; no multi-tech capacity model."
"Epic 6 - Transactions & job fulfillment","T6.1 Transaction/SalesOrder model (open/closed, deposit, balance, invoice)","BUILD","Tracker #40. None exist - only Contact.accountBalance (schema.prisma:329)."
"Epic 6 - Transactions & job fulfillment","T6.2 Deposit logging to customer profile","BUILD","Doc's ACT-CALL-004 shape: service_requested + $500 deposit. serviceRequested enrichment exists; deposit/amount logging does not. Ch 3."
"Epic 6 - Transactions & job fulfillment","T6.3 Job-completed event + action","BUILD","Tracker #38 - nothing logs a job finishing."
"Epic 6 - Transactions & job fulfillment","T6.4 Invoice-sent / balance-collection / payment event","BUILD","Tracker #39."
"Epic 6 - Transactions & job fulfillment","T6.5 Supplier-delivery-received trigger","BUILD","Tracker #37."
"Epic 6 - Transactions & job fulfillment","T6.6 Document back-office PO/supplier as non-goal","RECONCILE","Tracker #36 - PO / model number / supplier ordering is an explicit non-goal for ClearSky; split from the customer-touching writes."
"Epic 7 - Post-job growth","T7.1 Review-request action with GBP link","BUILD","Doc's ACT-REV-008; tracker #24. Gated on job-completed. Action Library stops at ACT-REV-004; a review SMS exists in telemetry.ts:451 but isn't in the library, isn't GBP-linked, isn't job-completion-gated."
"Epic 7 - Post-job growth","T7.2 Referral-request action","BUILD","Sibling of #24 - distinct from review request; absent."
"Epic 7 - Post-job growth","T7.3 Post-job relationship check-in action","BUILD","Doc's ACT-COM-004 - no keep-in-touch mechanism exists."
"Epic 7 - Post-job growth","T7.4 Facebook reciprocal follow-back webhook","BUILD","page.follows.added -> automatic follow-back, reciprocal-only. 'facebook' is a CommunicationType but a follow-back webhook wasn't found - build/verify."
"Epic 7 - Post-job growth","T7.5 Cohort2 trajectory write on job close","BUILD","cohort2_trajectories - absent. No cohort/trajectory table; scoring fields are scattered."
"Epic 8 - Approval routing & comms","T8.1 Financial-vs-non-financial approval routing","BUILD","Bert originates pricing, Sarah relays. Only single-route consultant/owner routing exists via approvalRoute (orchestrator-engine.ts:136); no content classifier routes pricing vs non-pricing to different approvers. Ch 4."
"Epic 8 - Approval routing & comms","T8.2 Thread the three job status messages","BUILD","order-confirmed / arrival / install-reminder under one thread_id. Depends on T1.4."
"Epic 8 - Approval routing & comms","T8.3 Align ACT-COM-001 with existing ACT-A2P-007","RECONCILE","Doc's ACT-COM-001 send_follow_up_message ~= existing ACT-A2P-007 send_sms_followup (seed-pipeline.ts:146); align naming/behavior rather than duplicating."
"Epic 9 - Library governance","T9.1 Reconcile action/signal ID namespace","RECONCILE","Map doc's ACT-CALL-*/ACT-COM-*/SIG-ENG-*/SIG-CONV-* onto real ACT-A2P-*/SIG-COMM-* (or adopt new IDs). Pick one canonical scheme. Tracker #32."
"Epic 9 - Library governance","T9.2 Single source of truth for Action/Signal libraries","BUILD","Action Library only in seed-pipeline.ts; Signal Library in signal-rules.ts. Make the simulator read them instead of hardcoding (ties off T0.2/T0.4)."
"Epic 9 - Library governance","T9.3 Unify booking/review subsystem with Pipeline library","RECONCILE","Booking/calendar/review live in a separate orchestrator subsystem (orchestrator.ts, conversation.ts, reply-skills.ts, /book), not the Pipeline* Action Library. Decide unify vs two tracks - affects Epics 5 & 7."
